EmpID,EmployeeEmail,EmploymentStatus,ExitDate,Account_id,AccountEmail,AccountCreatedAt,AccountUpdatedAt,Role
EMP000292,abhinav.yadav.292@company.com,Exited,2023-02-09,6a85866246e7ff0726d4bdcd,abhinav.yadav.292@company.com,2026-08-19T10:30:16.743253+00:00,2026-08-19T10:30:16.743253+00:00,EMPLOYEE
EMP000042,sahana.yadav.42@company.com,Exited,2026-01-23,6a85866246e7ff0726d4bdd3,sahana.yadav.42@company.com,2026-08-19T10:30:18.745403+00:00,2026-08-19T10:30:18.745403+00:00,EMPLOYEE
EMP000096,gaurav.pillai.96@company.com,Exited,2026-05-05,6a85866246e7ff0726d4bddc,gaurav.pillai.96@company.com,2026-08-19T10:30:21.304929+00:00,2026-08-19T10:30:21.304929+00:00,EMPLOYEE
EMP000118,rakesh.chopra.118@company.com,Exited,2025-03-28,6a85866246e7ff0726d4bde0,rakesh.chopra.118@company.com,2026-08-19T10:30:22.519517+00:00,2026-08-19T10:30:22.519517+00:00,EMPLOYEE
EMP000190,neha.naidu.190@company.com,Exited,2025-03-02,6a85866246e7ff0726d4bde5,neha.naidu.190@company.com,2026-08-19T10:30:24.009283+00:00,2026-08-19T10:30:24.009283+00:00,EMPLOYEE
EMP000255,harish.jain.255@company.com,Exited,2024-08-14,6a85866246e7ff0726d4bdea,harish.jain.255@company.com,2026-08-19T10:30:25.742658+00:00,2026-08-19T10:30:25.742658+00:00,EMPLOYEE
EMP000294,anirudh.verma.294@company.com,Exited,2024-11-27,6a85866246e7ff0726d4bdeb,anirudh.verma.294@company.com,2026-08-19T10:30:26.023153+00:00,2026-08-19T10:30:26.023153+00:00,EMPLOYEE
EMP000125,sneha.mishra.125@company.com,Exited,2025-01-20,6a85866246e7ff0726d4bdef,sneha.mishra.125@company.com,2026-08-19T10:30:27.248711+00:00,2026-08-19T10:30:27.248711+00:00,EMPLOYEE
EMP000235,vasudha.tripathi.235@company.com,Exited,2018-12-28,6a85866246e7ff0726d4bdf7,vasudha.tripathi.235@company.com,2026-08-19T10:30:29.796598+00:00,2026-08-19T10:30:29.796598+00:00,EMPLOYEE
EMP000355,rakesh.jain.355@company.com,Exited,2026-05-20,6a85866246e7ff0726d4bdff,rakesh.jain.355@company.com,2026-08-19T10:30:32.959367+00:00,2026-08-19T10:30:32.959367+00:00,EMPLOYEE
EMP000003,aditya.shah.3@company.com,Exited,2024-02-13,6a85866246e7ff0726d4be01,aditya.shah.3@company.com,2026-08-19T10:30:33.802455+00:00,2026-08-19T10:30:33.802455+00:00,EMPLOYEE
EMP000037,rahul.iyer.37@company.com,Exited,2023-05-06,6a85866246e7ff0726d4be03,rahul.iyer.37@company.com,2026-08-19T10:30:34.400780+00:00,2026-08-19T10:30:34.400780+00:00,EMPLOYEE
EMP000107,meera.thomas.107@company.com,Exited,2026-01-13,6a85866246e7ff0726d4be07,meera.thomas.107@company.com,2026-08-19T10:30:35.520824+00:00,2026-08-19T10:30:35.520824+00:00,EMPLOYEE
EMP000122,sanjay.joseph.122@company.com,Exited,2024-04-08,6a85866246e7ff0726d4be09,sanjay.joseph.122@company.com,2026-08-19T10:30:36.108899+00:00,2026-08-19T10:30:36.108899+00:00,EMPLOYEE
EMP000131,vivek.gupta.131@company.com,Exited,2025-08-12,6a85866246e7ff0726d4be0a,vivek.gupta.131@company.com,2026-08-19T10:30:36.377005+00:00,2026-08-19T10:30:36.377005+00:00,EMPLOYEE
EMP000248,bhavana.agarwal.248@company.com,Exited,2025-03-02,6a85866246e7ff0726d4be0f,bhavana.agarwal.248@company.com,2026-08-19T10:30:37.693436+00:00,2026-08-19T10:30:37.693436+00:00,EMPLOYEE
EMP000341,krishna.banerjee.341@company.com,Exited,2023-10-25,6a85866246e7ff0726d4be14,krishna.banerjee.341@company.com,2026-08-19T10:30:39.181131+00:00,2026-08-19T10:30:39.181131+00:00,EMPLOYEE
EMP000344,meera.verma.344@company.com,Exited,2024-10-24,6a85866246e7ff0726d4be15,meera.verma.344@company.com,2026-08-19T10:30:39.627501+00:00,2026-08-19T10:30:39.627501+00:00,EMPLOYEE
EMP000136,anirudh.george.136@company.com,Exited,2022-02-15,6a85866246e7ff0726d4be24,anirudh.george.136@company.com,2026-08-19T10:30:44.273903+00:00,2026-08-19T10:30:44.273903+00:00,EMPLOYEE
EMP000220,manasa.sinha.220@company.com,Exited,2026-05-08,6a85866246e7ff0726d4be27,manasa.sinha.220@company.com,2026-08-19T10:30:45.528298+00:00,2026-08-19T10:30:45.528298+00:00,EMPLOYEE
EMP000346,nandini.pillai.346@company.com,Exited,2025-09-05,6a85866246e7ff0726d4be30,nandini.pillai.346@company.com,2026-08-19T10:30:48.533586+00:00,2026-08-19T10:30:48.533586+00:00,EMPLOYEE
EMP000169,bhavana.desai.169@company.com,Exited,2022-05-27,6a85866246e7ff0726d4be3f,bhavana.desai.169@company.com,2026-08-19T10:30:53.468121+00:00,2026-08-19T10:30:53.468121+00:00,EMPLOYEE
EMP000345,mohan.mehta.345@company.com,Exited,2019-09-30,6a85866246e7ff0726d4be48,mohan.mehta.345@company.com,2026-08-19T10:30:56.148073+00:00,2026-08-19T10:30:56.148073+00:00,EMPLOYEE
EMP000320,akash.sinha.320@company.com,Exited,2018-06-18,6a85866246e7ff0726d4be5b,akash.sinha.320@company.com,2026-08-19T10:31:06.854106+00:00,2026-08-19T10:31:06.854106+00:00,EMPLOYEE
EMP000126,srinivas.varma.126@company.com,Exited,2026-03-01,6a85866246e7ff0726d4be62,srinivas.varma.126@company.com,2026-08-19T10:31:09.020483+00:00,2026-08-19T10:31:09.020483+00:00,EMPLOYEE
